npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  12/26/2025 8:03:00 PM ::1 GET /favicon.ico
 HTTP  12/26/2025 8:03:00 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:00 PM ::1 GET /favicon.svg
 HTTP  12/26/2025 8:03:00 PM ::1 GET /favicon-96x96.png
 HTTP  12/26/2025 8:03:00 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:00 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:00 PM ::1 GET /apple-touch-icon.png
 HTTP  12/26/2025 8:03:00 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:00 PM ::1 GET /web-app-manifest-192x192.png
 HTTP  12/26/2025 8:03:00 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:00 PM ::1 GET /web-app-manifest-512x512.png
 HTTP  12/26/2025 8:03:00 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:10 PM ::1 GET /index.html
 HTTP  12/26/2025 8:03:10 PM ::1 Returned 301 in 1 ms
 HTTP  12/26/2025 8:03:10 PM ::1 GET /index
 HTTP  12/26/2025 8:03:10 PM ::1 Returned 301 in 1 ms
 HTTP  12/26/2025 8:03:10 PM ::1 GET /
 HTTP  12/26/2025 8:03:10 PM ::1 Returned 200 in 3 ms
 HTTP  12/26/2025 8:03:10 PM ::1 GET /db.js?t=100000
 HTTP  12/26/2025 8:03:10 PM ::1 Returned 200 in 5 ms
 HTTP  12/26/2025 8:03:10 PM ::1 GET /app.js?t=100000
 HTTP  12/26/2025 8:03:10 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /sw.js
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 3 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /
 HTTP  12/26/2025 8:03:11 PM ::1 GET /manage_cards.html
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 301 in 1 ms
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 304 in 3 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /manage_cards
 HTTP  12/26/2025 8:03:11 PM ::1 GET /app.js
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 8 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /manage_cards.js
 HTTP  12/26/2025 8:03:11 PM ::1 GET /db.js
 HTTP  12/26/2025 8:03:11 PM ::1 GET /schema.json
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 3 ms
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /site.webmanifest
 HTTP  12/26/2025 8:03:11 PM ::1 GET /favicon.ico
 HTTP  12/26/2025 8:03:11 PM ::1 GET /favicon.svg
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /favicon-96x96.png
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /apple-touch-icon.png
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /web-app-manifest-192x192.png
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:11 PM ::1 GET /web-app-manifest-512x512.png
 HTTP  12/26/2025 8:03:11 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /index.html
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 301 in 0 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /index
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 301 in 0 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /db.js?t=100000
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /app.js?t=100000
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /sw.js
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 3 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /
 HTTP  12/26/2025 8:03:32 PM ::1 GET /manage_cards.html
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 301 in 1 ms
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /manage_cards
 HTTP  12/26/2025 8:03:32 PM ::1 GET /app.js
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 3 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /manage_cards.js
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /db.js
 HTTP  12/26/2025 8:03:32 PM ::1 GET /schema.json
 HTTP  12/26/2025 8:03:32 PM ::1 GET /site.webmanifest
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /favicon.ico
 HTTP  12/26/2025 8:03:32 PM ::1 GET /favicon.svg
 HTTP  12/26/2025 8:03:32 PM ::1 GET /favicon-96x96.png
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 3 ms
 HTTP  12/26/2025 8:03:32 PM ::1 GET /apple-touch-icon.png
 HTTP  12/26/2025 8:03:32 PM ::1 GET /web-app-manifest-192x192.png
 HTTP  12/26/2025 8:03:32 PM ::1 GET /web-app-manifest-512x512.png
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:03:32 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:04:48 PM ::1 GET /index.html
 HTTP  12/26/2025 8:04:48 PM ::1 Returned 301 in 1 ms
 HTTP  12/26/2025 8:04:48 PM ::1 GET /index
 HTTP  12/26/2025 8:04:48 PM ::1 Returned 301 in 0 ms
 HTTP  12/26/2025 8:04:48 PM ::1 GET /
 HTTP  12/26/2025 8:04:48 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:04:48 PM ::1 GET /db.js?t=100000
 HTTP  12/26/2025 8:04:48 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:04:48 PM ::1 GET /app.js?t=100000
 HTTP  12/26/2025 8:04:48 PM ::1 Returned 200 in 0 ms
 HTTP  12/26/2025 8:04:49 PM ::1 GET /sw.js
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:04:49 PM ::1 GET /
 HTTP  12/26/2025 8:04:49 PM ::1 GET /manage_cards.html
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 301 in 1 ms
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 304 in 2 ms
 HTTP  12/26/2025 8:04:49 PM ::1 GET /manage_cards
 HTTP  12/26/2025 8:04:49 PM ::1 GET /app.js
 HTTP  12/26/2025 8:04:49 PM ::1 GET /
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 5 ms
 HTTP  12/26/2025 8:04:49 PM ::1 GET /manage_cards.js
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:04:49 PM ::1 GET /db.js
 HTTP  12/26/2025 8:04:49 PM ::1 GET /schema.json
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 3 ms
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:04:49 PM ::1 GET /site.webmanifest
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:04:49 PM ::1 GET /favicon.ico
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:04:49 PM ::1 GET /favicon.svg
 HTTP  12/26/2025 8:04:49 PM ::1 GET /favicon-96x96.png
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:04:49 PM ::1 GET /apple-touch-icon.png
 HTTP  12/26/2025 8:04:49 PM ::1 GET /web-app-manifest-192x192.png
 HTTP  12/26/2025 8:04:49 PM ::1 GET /web-app-manifest-512x512.png
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:04:49 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:12 PM ::1 GET /index.html
 HTTP  12/26/2025 8:05:12 PM ::1 Returned 301 in 1 ms
 HTTP  12/26/2025 8:05:12 PM ::1 GET /index
 HTTP  12/26/2025 8:05:12 PM ::1 Returned 301 in 1 ms
 HTTP  12/26/2025 8:05:12 PM ::1 GET /
 HTTP  12/26/2025 8:05:12 PM ::1 Returned 200 in 0 ms
 HTTP  12/26/2025 8:05:12 PM ::1 GET /db.js?t=100000
 HTTP  12/26/2025 8:05:12 PM ::1 GET /app.js?t=100000
 HTTP  12/26/2025 8:05:12 PM ::1 Returned 200 in 4 ms
 HTTP  12/26/2025 8:05:12 PM ::1 Returned 200 in 3 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /sw.js
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /
 HTTP  12/26/2025 8:05:13 PM ::1 GET /manage_cards.html
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 301 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 304 in 0 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /manage_cards
 HTTP  12/26/2025 8:05:13 PM ::1 GET /app.js
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /manage_cards.js
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /db.js
 HTTP  12/26/2025 8:05:13 PM ::1 GET /schema.json
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /site.webmanifest
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 0 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /favicon.ico
 HTTP  12/26/2025 8:05:13 PM ::1 GET /favicon.svg
 HTTP  12/26/2025 8:05:13 PM ::1 GET /favicon-96x96.png
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 2 ms
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /apple-touch-icon.png
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /web-app-manifest-192x192.png
 HTTP  12/26/2025 8:05:13 PM ::1 GET /web-app-manifest-512x512.png
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 200 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /manage_cards
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /db.js
 HTTP  12/26/2025 8:05:13 PM ::1 GET /manage_cards.js
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /sw.js
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 GET /manage_cards
 HTTP  12/26/2025 8:05:13 PM ::1 GET /app.js
 HTTP  12/26/2025 8:05:13 PM ::1 GET /
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 304 in 1 ms
 HTTP  12/26/2025 8:05:13 PM ::1 Returned 304 in 1 ms
